0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
"UNITED
NATIONS E","Economic and Social
Council LIMITED","E/CN.4/1999/L.62/Rev.1
26 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 20",RATIONALIZATION OF THE WORK OF THE COMMISSION,"Afghanistan*, Algeria*, Bhutan, China, Cuba, Democratic People's","Republic of Korea*, Egypt*, India, Indonesia, Iran (Islamic","Republic of)*, Jordan*, Libyan Arab Jamahiriya*, Malaysia*,","Mauritania*, Myanmar*, Nepal, Pakistan, Philippines, Qatar,","Saudi Arabia*, Sri TLanka, Sudan, Syrian Arab Republic*, Tanzania*,
Thailand*, Viet Nam*, Yemen*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,A/ES-lO/L.S,"\
N
Y",N,General Assembly ??ﬁﬁiﬁffﬁi 9,2,Original: English,Tenth emergency special session,Agenda item 5,"Illegal Israeli actions in Occupied East Jerusalem and the rest of the
Occupied Palestinian Territory","Afghanistan, Algeria, Bahrain, Bangladesh, Djibouti, Egypt, Jordan,
Kuwait, Malaysia, Mauritania, Morocco, Oman, Pakistan, Qatar, Saudi
Arabia, Sudan, Tunisia, United Arab Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Nations AVES-10/L.5/Rev.1""","\
N
Y",N,General Assembly 09,N,Original: English,Tenth emergency special session,Agenda item 5,"Illegal Israeli actions in Occupied East Jerusalem and the rest of the
Occupied Palestinian Territory","Afghanistan, Algeria, Bahrain, Bangladesh, Comoros, Cuba, Djibouti,
Egypt, Indonesia, Jordan, Kuwait, Malaysia, Mauritania, Morocco,
Oman, Pakistan, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab
Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social bistr.,Council,"E/CN.4/1999/L.62
20 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 20",RATIONALIZATION OF THE WORK OF THE COMMISSION,"Afghanistan*, Algeria*, Bangladesh, Bhutan, China, Cuba,","Democratic People's Republic of Korea*, Egypt*, India,","Indonesia, Iran (Islamic Republic of)*, Jordan*, Libyan","Arab Jamahiriya*, Malaysia*, Mauritania*, Myanmar*, Nepal,","Pakistan, Philippines, Qatar, Saudi Arabia*, Sri Lanka,","Sudan, Syrian Arab Republic*, Tanzania*, Thailand*,","Viet Nam*, Yemen*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social bistr.,Council,"E/CN.4/1999/L.56
20 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 12",INTEGRATION OF THE HUMAN RIGHTS OF WOMEN AND THE GENDER PERSPECTIVE,"Afghanistan*, Albania*, Angola*, Argentina, Australia*, Austria,
Belarus*, Belgium*, Botswana, Brazil*, Bulgaria*, Canada,
Cape Verde, Chile, Costa Rica*, Cbte d'Ivoire*, Croatia*, Cyprus*,
Czech Republic, Denmark*, Dominican Republic*, FEcuador,
El Salvador, Finland*, Former Yugoslav Republic of Macedonia*,
Germany, Greece*, Haiti*, Hungary*, Iceland*, Ireland, Ttaly,
Japan, Latvia, Liechtenstein*, TLithuania*, Luxembourg, Mexico,
ozambique, Netherlands*, New Zealand*, Norway, Peru, Philippines,
Poland, Portugal*, Romania, Slovenia*, South Africa, Spain*,
Sweden*, Switzerland*, Tunisia, United Kingdom of Great Britain
and Northern Ireland, Uruguay, Venezuela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcasanis,"A, N\ . o
\f@?\} General Assembly Distr; Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 88,"United Nations Relief and Works Agency for Palestine Refugees in the
Near East","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Indonesia, Jordan,
Kuwait, Morocco, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates,
Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcarsanio,"A, N\ . o
\f@?\} General Assembly Distr; Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 88,"United Nations Relief and Works Agency for Palestine Refugees
in the Near East","Afghanistan, Bangladesh, Comoros, Cuba, Djibouti, Egypt, Indonesia, Jordan,
Kuwait, Morocco, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates,
Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,"A, N\ . o
\f@?\} General Assembly Distr; Limited
274",Original: English,"Fifty-fourth session
Agenda item 36
Bethlehem 2000",99-32612 (E),"Afghanistan, Algeria, Argentina, Bahrain, Bangladesh, Belarus, Chile, Comoros,
Costa Rica, Cuba, Cyprus, Djibouti, Egypt, El Salvador, Greece, Guyana,
Indonesia, Ireland, Italy, Jordan, Kuwait, Malaysia, Morocco, Oman, Peru,
Qatar, Saudi Arabia, Senegal, Sierra Leone, Sudan, Tunisia, United Arab
Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcassan.as,"A, N T",\f@?\} General Assembly Dist: Limited,"“Q 4/,/ English
Original: Arabic",Fifty-fourth session,Third Committee,Agenda item 112,Promotion and protection of the rights of children,"Afghanistan, Andorra, Angola, Argentina, Australia, Bahamas, Bangladesh,
Barbados, Belgium, Benin, Botswana, Brazil, Bulgaria, Burkina Faso, Canada,
Cape Verde, Chile, China, Colombia, Congo, Costa Rica, Cote d’Ivoire, Croatia,
Cuba, Democratic Republic of the Congo, Dominican Republic, Ecuador,
Equatorial Guinea, Eritrea, Ethiopia, Fiji, Finland, France, Germany, Ghana,
Guatemala, Guinea, Guyana, Haiti, Hungary, Iceland, Ireland, Italy, Kenya,
Lesotho, Liberia, Liechtenstein, Luxembourg, Malawi, Malaysia, Mali,
Mauritius, Monaco, Mozambique, Namibia, Nepal, Netherlands, Nigeria,
Norway, Papua New Guinea, Paraguay, Peru, Poland, Portugal, Romania,
Rwanda, Saint Lucia, Senegal, Seychelles, Singapore, Slovenia, Solomon Islands,
South Africa, Suriname, Swaziland, Sweden, the former Yugoslav Republic of
Macedonia, Ukraine, United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania, Uruguay, Venezuela, Zambia and Zimbabwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Asc.assano,"A, N . o
\f@?\} General Assembly Dist: Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 89,"Report of the Special Committee to Investigate Israeli Practices
Affecting the Human Rights of the Palestinian People and Other
Arabs of the Occupied Territories","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Jordan, Kuwait,
Morocco, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates, Yemen
and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avc.assanio,"A, N . o
\f@?\} General Assembly Dist: Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 89,"Report of the Special Committee to Investigate Israeli Practices
Affecting the Human Rights of the Palestinian People and Other
Arabs of the Occupied Territories","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Kuwait, Morocco,
Qatar, Saudi Arabia, Tunisia, United Arab Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcasananr,"A, N . o
\f@?\} General Assembly Dist; Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 89,"Report of the Special Committee to Investigate Israeli Practices
Affecting the Human Rights of the Palestinian People and Other Arabs
of the Occupied Territories","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Jordan, Kuwait,
Morocco, Qatar, Saudi Arabia, Tunisia, United Arab Emirates, Yemen and
Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcasanin,"A, N . o
\f@?\} General Assembly Dist; Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 89,"Report of the Special Committee to Investigate Israeli Practices
Affecting the Human Rights of the Palestinian People and Other Arabs
of the Occupied Territories","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Jordan, Kuwait,
Lebanon, Morocco, Oman, Qatar, Saudi Arabia, Sudan, Syrian Arab Republic,
Tunisia, United Arab Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcasanis,"A, N . o
\f@?\} General Assembly Dist; Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 88,"United Nations Relief and Works Agency for Palestine Refugees in the
Near East","Afghanistan, Bahrain, Comoros, Cuba, Djibouti, Egypt, Indonesia, Jordan,
Kuwait, Morocco, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates,
Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avc.assam.o/Rev.1,"A, N . o
\f@?\} General Assembly Dist: Limited
274",Original: English,Fifty-fourth session,Special Political and Decolonization Committee,(Fourth Committee),Agenda item 89,"Report of the Special Committee to Investigate Israeli Practices
Affecting the Human Rights of the Palestinian People and Other
Arabs of the Occupied Territories","Afghanistan, Bahrain, Brunei Darussalam, Comoros, Cuba, Djibouti, Egypt,
Jordan, Kuwait, Morocco, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab
Emirates, Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcassan s,"A N . L
{fi’@?\} General Assembly Distr: Limited
274",Original: English,Fifty-fourth session,Second Committee,Agenda item 103,"Permanent sovereignty of the Palestinian people in the occupied
Palestinian territory, including Jerusalem, and of the Arab population
in the occupied Syrian Golan over their natural resources","Afghanistan, Algeria, Bahrain, Bangladesh, Brunei Darussalam, Comoros, Cuba,
Djibouti, Egypt, Indonesia, Jordan, Kuwait, Malaysia, Malta, Mauritania,
Morocco, Oman, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates,
Yemen and Palestine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcarsan.e,"A, N\ . .
(@) General Assembly D
274",Original: English,Fifty-fourth session,Third Committee,Agenda item 116 (b),"Human rights questions: human rights questions, including alternative
approaches for improving the effective enjoyment of human rights and
fundamental freedoms","Afghanistan, Bahrain, China, Cuba, Egypt, India, Iran (Islamic Republic of),
Malaysia, Myanmar, Pakistan, Sudan, Tajikistan and Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations Avcassan.es,"A, N\ . .
(@) General Assembly D
274",Original: English,Fifty-fourth session,Third Committee,Agenda item 116 (b),"Human rights questions: human rights questions, including alternative
approaches for improving the effective enjoyment of human rights and
fundamental freedoms","Afghanistan, Argentina, Armenia, Australia, Austria, Belarus, Bosnia and
Herzegovina, Brazil, Bulgaria, Canada, Cape Verde, Chile, Colombia, Costa
Rica, Céte d’Ivoire, Croatia, Cyprus, Czech Republic, Denmark, Ecuador,
Ethiopia, Finland, Georgia, Greece, Guatemala, Hungary, Iceland, Israel, Italy,
Latvia, Liechtenstein, Lithuania, Malta, Monaco, Netherlands, Norway, Panama,
Poland, Portugal, Republic of Korea, Russian Federation, San Marino, Slovakia,
Slovenia, Spain, Sudan, Sweden, Thailand, the former Yugoslav Republic of
Macedonia, Ukraine, United Kingdom of Great Britain and Northern Ireland,
United States of America and Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A & Aol ﬁ’g’!
Distr.
LIMITED",A/C.3/54/L.70*,"15 November 1999
ARABIC",ORIGINAL: ENGLISH,"Qg—a.u.e‘:a""g a.i.ﬂ)."" 3)3.\.""
aJL) L
Jhec §1 Joasr cro () V1T s","GUd 0 Loy (OlanY) @i Joluwo (ol 3 g J5luwo
Olun¥) @ gy (dadd) pmiaid) (i Ay ad) 7yl
el ol ol","ey a3y GlSly Lol g o8] il LB o 53T (w9 ) LS Y
ygalalud) (Y & Lo yaor dds L) 403w gb godl L_s gadio &y jgdoo
ke oLJ.’.G’J’S olS.JJt’u.u’S odt’uﬂ}:«.""}:& odt’u.uS:«:yLb od*’-""):u.u od'}s—uﬂ-""","AR g g o tagd) ((w gudiy Hao (o el
ola Yy glun) G gds
alall Geaasd) o","oM gLl galee (e ls Voluny) §oisd ool (Me¥ly 8 axiall ‘M‘S’i Glices Ad yiws 3
ol Cedaall Gnagally (Vsasiall aef) Glice LBy Joal G golailly dyssd culBMall Al","DG Y) G g
B3 Aol ‘M’S’u FLDY (ool Ay giad] (5 S Aewlios okl (el () edid 3o",Ad Glewd Lalas) sl *,"(¥ - ) i YAy e "")","B8 el (YO - 3) YIY0 Lisal  (Y)
30yl (YY - 3) i Y¥ee ) (¥)
0e LA sl (8)",e 151199 151199 99-34752,"A/C.3/54/L.70
Arabic
Page 2","oLyl §oisd sollall aifel) Lesseic) cpdll lnd Joo geb g odle] o Ldal ,ods 3
Sloadly Glus¥! §ods eodi ) Jaill o wba ¥ of seibell Loged aSl Gadlly OVAAY ale 3
cado) yias all g Z,'Hul.w's""","#55al VAO/ER 5 VAAY siains /Jo%) GaalS Yo £ o5ell VYY/EA Lyl a8 ) GLJAS a5 3,
£ o5l VY0¥ 5 V890 awns /Js) eslS YY £ o5—all VAV/Or 9 VA%, cauns /Ja¥) GealS YY
Aaay et D /dsi"" ug.alS \Y","Joall #157 uaily of plall Ged) () 4t s g3 AYY/OY Laslsd ) ol S uds 3
B oho ey JolS amardl Il Ay oy Uiney ST grams wmla Y1 le dd el LUT olay flacd)
L) by sl ol","ol YYA G881 Gl Lacw ¥y olacs¥) G odo dumd e 8 abaadl ddsludl cll,al ) ks 3
ety dcaedl dee yall dsdl ge d,slall Al o3 clal e s ada gy il Y1",(olan¥) § g dylesg,"O] §aio ens () CBags ) 0 salheg IS prams ol ¥ Jleel ol Lge 3o nd 3o
Adgally drdog)l sgganl ak ) & pewne JI5 ¥","Bl B Gl s Lsals glun¥l Gais Jof of Laslac) o add 3,
o Langs sl B wld) @3 le ddS Ao asgy la Yl of Lawl Lajlae) 8 a3","Gewlwd) @l sadly Glusl) §odis g el Joal gra cunly o O e 2SI aas 3
WJL g ple Uiy LSle ) ran by B e ¥l gl ) lanls 3,0 JS aun of ios @l Loy lpulesy",e la Y] ile Losdl 15 5 ) (Glus¥) § oo Aaeusdl Sl ¥l #13) 3pad GIB Lo olun 3,&S Juasdl A/CONF.157/24 (Part I)  (0),"(E/1997/23) ¥¥ ad, ganlall 1498 o Lain¥ly g sbaid¥) Guloall dew ) @505 ol : il )
i g sl (AL Sl",e 99-34752,"A/C.3/54/L.70
Arabic
Page 3","Gpally Jibs$lg sl aged (rar #h Bl Golnd$) sac 2150 L) WsLaw) ge o ya3 3y
OSer ¥ ey Adledie lajly caie Jlocl 0 agiosgdng pgissuies smla Y agkiiy G","e amin Lo Mad (Joally Gidosll s aesall Gle ol adally dolwfl g gdial) sk olad¥) B Jass
A3 yully (la )l any elaie¥ly caladdly 313Ny Jidl Jhe & edad adl s alSS)) (e U3","A ¥ 3Me (eels e Y Acwliadl culglasdl sLac®) Joal) A of iceal aSES 3
g ol agilolieg pgde Uaudl L) UL ola ) Jleel 0uS 5 ol Godoes ol Gododain","tabea) Lidy o blodl) 58959 3,0l Glus¥) §ois iles ) Aol Lajbac) B8 pads 3
Bl B @) Lacw Yo cdlall I3 Zdoal) HeSually Glusyl G sis","polo Uiy ddate gsSs of 29 ¥ ala Yl isdlSel 353 L) seladl US of aas e aS55 3
Ol Y) G ooy Adlatal) Gdgall ealaal) Lgd Loy Alaall l3 Joal) geala)) plS>i go","(g oy sl Bl B Bally e Lavgs Glneadl B @l colSlyms) gpas - Y
o aliey WSS pras aSlw jlosy acdluiy wla ¥ Jlee® dablil Lyols) aSB a5 - ¥
Aodwll 3y B3age kol iy ANy wlw$) byl GlusY) Gods needS ] e idadsl Lyrwss","paimall LS, Adgies A g el § ol ASdal culosSsdl ) hiw) dc e g lgialy Joall icenddy)
1Joall dee Lais¥ly iy slaid¥) deawdly 3 Lo gl ddsley (gaaail sl","I3 ol geslall alS>$ sy iladdly ZeydU) smlad) gras 3Ll Joal ) clbes - £
o aliey IS gresms (olaL¥) Jloel aied (Glas¥) §odow ddlaiell ideall yolael lgd Loy il",(Lo 0S5 po oS Ly eyl Lol lpde $Ladlly LyimdlSos,"i8S, e ong.\.""s g-‘:‘-ﬁ}:' Rl (Hde gelad 0Ly e ng.\."" el G -0
e SLadll Caags olusy) Gois oo L Loy bl cul3 Adgal) ySuall Lidy ala 3",e 99-34752,"A/C.3/54/L.70
Arabic
Page 4","oS5 e AaSlone Bagy ""AeSlomal) of aekucid) Lof"" Tace) Jlce¥) le flae ) Joal) css - Y
fagte Guidel giall (pe Mdd ola Y Jlesl","Dlw! ol ¥ e il LUY olis sl caad Sl GlesSsdl e 5 - A
N899 Gulas ol V1 G 5all alad) (oSl o saddl 3,530l","ST glin flac St Joalt #1,T pubed) Juolsy off ad] ol s Vplal) (el 5o i s - 4
b yodly Olus¥) §ods prasms JolSI el ) dewdly o palliey SST prasms ola ¥ e s el","10 3 RS Q.,’é Lg::';.\! U ;a:u.ul.w's""","Osirall 2 bl B ey dwsludl Lgises o3 laedl sda G s of Has -V
TolasY) G gas U5l",A/54/439 (V),"e 99-34752
"
